,report_month,portal_id,product,calendar_days_remaining,day of month,mrr_net_pm_bom,cancel_classified,geography,segment,sub_segment,partner_managed,employee_size,employee_size_value,marketing_health_check,sales_health_check,count_calls_by_owner_l90,count_emails_by_owner_l90_measure,count_of_integrations,renewal_month,subscription_cancel,cancel_dollars,primary_colors,age,edition
24971,2022-03,4015500,SalesHub,31,1,744.0,prior_cancel,NAM,SMB,POLMONARI,Yes,1 to 25,10.0,4,3,2.0,13.0,31.0,1.0,1.0,-744.0,5.0,52.0,Professional
24972,2022-03,4018593,CMSHub,31,1,240.0,prior_cancel,NAM,NAM CST,CST,No,26 to 200,200.0,0,0,0.0,2.0,7.0,1.0,1.0,-240.0,0.0,48.0,Professional
24973,2022-03,4018593,MarketingHub,31,1,224.0,prior_cancel,NAM,NAM CST,CST,No,26 to 200,200.0,0,0,0.0,2.0,7.0,1.0,1.0,-224.0,0.0,48.0,Starter
24974,2022-03,4029145,CMSHub,31,1,858.24,prior_cancel,EMEA,EMEA CST,EMEA CST,Yes,1 to 25,10.0,0,2,0.0,0.0,6.0,1.0,1.0,-858.24,0.0,12.0,Enterprise
24975,2022-03,4037176,CMSHub,31,1,336.0,prior_cancel,EMEA,BENELUX,BOMZE,No,201 or Above,500.0,4,0,0.0,1.0,18.0,1.0,1.0,-336.0,1.0,48.0,Professional
24976,2022-03,4037176,MarketingHub,31,1,1644.0,prior_cancel,EMEA,BENELUX,BOMZE,No,201 or Above,500.0,4,0,0.0,1.0,18.0,1.0,1.0,-1644.0,1.0,48.0,Professional
24977,2022-03,4070608,CMSHub,18,14,8.04,early_cancel,APAC,JAPAC CST,APAC CST,No,1 to 25,10.0,3,2,1.0,7.0,16.0,0.0,1.0,-8.04,0.0,3.0,Starter
24978,2022-03,4070608,MarketingHub,18,14,47.62,early_cancel,APAC,JAPAC CST,APAC CST,No,1 to 25,10.0,3,2,1.0,7.0,16.0,0.0,1.0,-47.62,0.0,40.0,Starter
24979,2022-03,4070608,OperationsHub,18,14,15.24,early_cancel,APAC,JAPAC CST,APAC CST,No,1 to 25,10.0,3,2,1.0,7.0,16.0,0.0,1.0,-15.24,0.0,3.0,Starter
24980,2022-03,4070608,SalesHub,18,14,411.43,early_cancel,APAC,JAPAC CST,APAC CST,No,1 to 25,10.0,3,2,1.0,7.0,16.0,0.0,1.0,-411.43,3.0,40.0,Professional
24981,2022-03,4070608,ServiceHub,18,14,16.09,early_cancel,APAC,JAPAC CST,APAC CST,No,1 to 25,10.0,3,2,1.0,7.0,16.0,0.0,1.0,-16.09,1.0,40.0,Starter
24982,2022-03,4080655,CMSHub,15,17,6.13,early_cancel,EMEA,EMEA CST,EMEA CST,No,1 to 25,10.0,4,1,0.0,0.0,12.0,1.0,1.0,-6.13,0.0,6.0,Starter
24983,2022-03,4080655,MarketingHub,15,17,12.27,early_cancel,EMEA,EMEA CST,EMEA CST,No,1 to 25,10.0,4,1,0.0,0.0,12.0,1.0,1.0,-12.27,2.0,36.0,Starter
24984,2022-03,4080655,OperationsHub,15,17,12.27,early_cancel,EMEA,EMEA CST,EMEA CST,No,1 to 25,10.0,4,1,0.0,0.0,12.0,1.0,1.0,-12.27,1.0,6.0,Starter
24985,2022-03,4080655,SalesHub,15,17,12.27,early_cancel,EMEA,EMEA CST,EMEA CST,No,1 to 25,10.0,4,1,0.0,0.0,12.0,1.0,1.0,-12.27,4.0,45.0,Starter
24986,2022-03,4080655,ServiceHub,15,17,12.27,early_cancel,EMEA,EMEA CST,EMEA CST,No,1 to 25,10.0,4,1,0.0,0.0,12.0,1.0,1.0,-12.27,2.0,24.0,Starter
24987,2022-03,4232536,CMSHub,31,1,25.0,prior_cancel,LATAM,LATAM CST,LATAM CST,No,1 to 25,5.0,4,4,0.0,0.0,11.0,1.0,1.0,-25.0,0.0,4.0,Starter
24988,2022-03,4243968,CMSHub,31,1,240.0,prior_cancel,LATAM,LATAM CST,LATAM CST,No,26 to 200,51.0,0,0,1.0,8.0,16.0,1.0,1.0,-240.0,0.0,37.0,Professional
24989,2022-03,4276344,CMSHub,31,1,336.0,prior_cancel,EMEA,EMEA CST,EMEA CST,No,1 to 25,10.0,4,0,0.0,0.0,9.0,1.0,1.0,-336.0,0.0,49.0,Professional
24990,2022-03,4302828,CMSHub,31,1,13.79,prior_cancel,NAM,CORE CC AMER,LOVETT-GRIFFIN,No,1 to 25,10.0,4,3,6.0,10.0,35.0,1.0,0.0,0.0,0.0,6.0,Starter
24991,2022-03,4302828,MarketingHub,31,1,55.18,prior_cancel,NAM,CORE CC AMER,LOVETT-GRIFFIN,No,1 to 25,10.0,4,3,6.0,10.0,35.0,1.0,0.0,0.0,3.0,18.0,Starter
24992,2022-03,4302828,OperationsHub,31,1,27.59,prior_cancel,NAM,CORE CC AMER,LOVETT-GRIFFIN,No,1 to 25,10.0,4,3,6.0,10.0,35.0,1.0,0.0,0.0,0.0,6.0,Starter
24993,2022-03,4302828,SalesHub,31,1,275.86,prior_cancel,NAM,CORE CC AMER,LOVETT-GRIFFIN,No,1 to 25,10.0,4,3,6.0,10.0,35.0,1.0,0.0,0.0,5.0,18.0,Professional
24994,2022-03,4302828,ServiceHub,31,1,27.59,prior_cancel,NAM,CORE CC AMER,LOVETT-GRIFFIN,No,1 to 25,10.0,4,3,6.0,10.0,35.0,1.0,0.0,0.0,2.0,18.0,Starter
24995,2022-03,4307441,CMSHub,31,1,80.0,prior_cancel,NAM,NAM CST,CST,No,1 to 25,1.0,0,0,0.0,0.0,1.0,1.0,1.0,-80.0,0.0,48.0,Professional
24996,2022-03,4307441,MarketingHub,31,1,160.0,prior_cancel,NAM,NAM CST,CST,No,1 to 25,1.0,0,0,0.0,0.0,1.0,1.0,1.0,-160.0,0.0,48.0,Basic
24997,2022-03,4358962,CMSHub,18,14,240.0,early_cancel,NAM,NAM CST,CST,Yes,26 to 200,50.0,4,1,0.0,0.0,17.0,1.0,1.0,-240.0,0.0,31.0,Professional
24998,2022-03,4358962,MarketingHub,18,14,44.8,early_cancel,NAM,NAM CST,CST,Yes,26 to 200,50.0,4,1,0.0,0.0,17.0,1.0,1.0,-44.8,1.0,35.0,Starter
24999,2022-03,4358962,SalesHub,18,14,32.0,early_cancel,NAM,NAM CST,CST,Yes,26 to 200,50.0,4,1,0.0,0.0,17.0,1.0,1.0,-32.0,2.0,35.0,Starter
25000,2022-03,4358962,ServiceHub,18,14,256.0,early_cancel,NAM,NAM CST,CST,Yes,26 to 200,50.0,4,1,0.0,0.0,17.0,1.0,1.0,-256.0,0.0,35.0,Professional
25001,2022-03,4373325,CMSHub,3,29,68.8,late_cancel,NAM,NAM CST,CST,Yes,1 to 25,5.0,3,0,0.0,0.0,8.0,1.0,1.0,-68.8,0.0,48.0,Professional
25002,2022-03,4373325,MarketingHub,3,29,340.0,late_cancel,NAM,NAM CST,CST,Yes,1 to 25,5.0,3,0,0.0,0.0,8.0,1.0,1.0,-340.0,0.0,48.0,Professional
25003,2022-03,4406109,CMSHub,31,1,80.0,prior_cancel,NAM,SMB,MASTANDREA,No,1 to 25,5.0,3,0,0.0,0.0,3.0,1.0,1.0,-80.0,0.0,48.0,Professional
25004,2022-03,4406109,MarketingHub,31,1,1200.0,prior_cancel,NAM,SMB,MASTANDREA,No,1 to 25,5.0,3,0,0.0,0.0,3.0,1.0,1.0,-1200.0,0.0,48.0,Basic
25005,2022-03,4527104,CMSHub,31,1,120.0,prior_cancel,NAM,NAM CST,CST,Yes,1 to 25,10.0,4,1,0.0,0.0,17.0,1.0,1.0,-120.0,0.0,32.0,Professional
25006,2022-03,4527104,MarketingHub,31,1,224.0,prior_cancel,NAM,NAM CST,CST,Yes,1 to 25,10.0,4,1,0.0,0.0,17.0,1.0,1.0,-224.0,0.0,46.0,Starter
25007,2022-03,4527104,SalesHub,31,1,320.0,prior_cancel,NAM,NAM CST,CST,Yes,1 to 25,10.0,4,1,0.0,0.0,17.0,1.0,1.0,-256.0,2.0,39.0,Professional
25008,2022-03,4588574,CMSHub,31,1,195.0,prior_cancel,NAM,SMB,MASTANDREA,Yes,1 to 25,10.0,4,3,7.0,10.0,31.0,1.0,0.0,0.0,1.0,17.0,Professional
25009,2022-03,4588574,MarketingHub,31,1,598.0,prior_cancel,NAM,SMB,MASTANDREA,Yes,1 to 25,10.0,4,3,7.0,10.0,31.0,1.0,0.0,0.0,4.0,42.0,Professional
25010,2022-03,4588574,SalesHub,31,1,1468.8,prior_cancel,NAM,SMB,MASTANDREA,Yes,1 to 25,10.0,4,3,7.0,10.0,31.0,1.0,0.0,0.0,5.0,42.0,Enterprise
25011,2022-03,4588574,ServiceHub,31,1,624.0,prior_cancel,NAM,SMB,MASTANDREA,Yes,1 to 25,10.0,4,3,7.0,10.0,31.0,1.0,0.0,0.0,3.0,20.0,Professional
25012,2022-03,4590586,CMSHub,1,31,380.16,late_cancel,EMEA,UKI SMB,BOADUM,No,1 to 25,25.0,3,3,0.0,1.0,20.0,0.0,1.0,-380.16,0.0,44.0,Professional
25013,2022-03,4590586,MarketingHub,1,31,1321.632,late_cancel,EMEA,UKI SMB,BOADUM,No,1 to 25,25.0,3,3,0.0,1.0,20.0,0.0,1.0,-1321.632,1.0,45.0,Professional
25014,2022-03,4590586,SalesHub,1,31,48.384,late_cancel,EMEA,UKI SMB,BOADUM,No,1 to 25,25.0,3,3,0.0,1.0,20.0,0.0,1.0,-48.384,1.0,45.0,Starter
25015,2022-03,4590586,ServiceHub,1,31,48.384,late_cancel,EMEA,UKI SMB,BOADUM,No,1 to 25,25.0,3,3,0.0,1.0,20.0,0.0,1.0,-48.384,0.0,15.0,Starter
25016,2022-03,4832592,CMSHub,31,1,240.0,prior_cancel,NAM,NAM CST,CST,No,26 to 200,50.0,4,0,0.0,1.0,3.0,1.0,1.0,-240.0,0.0,43.0,Professional
